,High_Vol,Low_Vol,High_ADX,Low_ADX
0,1.0,1.0,1.0,1.0
1,-0.04188376069202474,0.424065742953568,0.3529384832338067,0.2038679293568904
2,0.0599538745416704,0.04065391845526831,0.009556077023991392,0.21977470225380177
3,-0.23432539934003033,0.08177753903393552,-0.14858429535549547,-0.0022816522780607328
4,-0.04188376069202474,0.424065742953568,0.3529384832338067,0.2038679293568904
5,1.0,1.0,1.0,1.0
6,-0.03192349233076201,-0.0011659833984747415,-0.034455343033557365,-0.11134156544776543
7,0.10304103803353354,0.009200946633716438,0.03611925282101399,-0.0005224833364956537
8,0.0599538745416704,0.04065391845526831,0.009556077023991392,0.21977470225380177
9,-0.03192349233076201,-0.0011659833984747415,-0.034455343033557365,-0.11134156544776543
10,1.0,1.0,1.0,1.0
11,0.07482140605793905,-0.18089216903109315,0.06723695159971269,-0.009582518891624736
12,-0.23432539934003033,0.08177753903393552,-0.14858429535549547,-0.0022816522780607328
13,0.10304103803353354,0.009200946633716438,0.03611925282101399,-0.0005224833364956537
14,0.07482140605793905,-0.18089216903109315,0.06723695159971269,-0.009582518891624736
15,1.0,1.0,1.0,1.0
